lead1,lead2,lead3
4175956,4197671,4201048
4172362,4198700,4205627
4170598,4198687,4207412
4170502,4198301,4207178
4177862,4195476,4196884
4177601,4193629,4195337
4173356,4196687,4202775
4170528,4198970,4207873
4170379,4198894,4207918
4176995,4197840,4200250
4175963,4197867,4201268
4172333,4198905,4205972
4170588,4198980,4207848
4170583,4198651,4207534
4177118,4197737,4200050
4176152,4197729,4200964
4172562,4198765,4205577
4171411,4198133,4206171
4173273,4195512,4201757
4176828,4197887,4200502
4175853,4197822,4201359
4172277,4198776,4205942
4170451,4198885,4207938
4170348,4198556,4207698
4176902,4197551,4200201
4175975,4197584,4201126
4172472,4198589,4205592
4170682,4198583,4207411
4175215,4196476,4200758
4178453,4193392,4194426
4176699,4195102,4197947
4172578,4197670,4204578
4170486,4198364,4207355
4174201,4198578,4204002
4176880,4197339,4200000
4175948,4197235,4200742
4172527,4197745,4204665
4170644,4198093,4206955
4174319,4198626,4203970
4176988,4197367,4199958
4176150,4197167,4200529
4173381,4196897,4203034
4173265,4194979,4201262
4174008,4198848,4204440
4176674,4197554,4200432
4175733,4197356,4201070
4172271,4197878,4205022
4170402,4198260,4207350
4174078,4198675,4204158
4176815,4197396,4200090
4175874,4197182,4200733
4172467,4197654,4204613
4170556,4198031,4207000
4175697,4194688,4198496
4177481,4195183,4197198
4175760,4197164,4200803
4172299,4197903,4205022
4171175,4199883,4208252
4174227,4198757,4204080
4176920,4197405,4199987
4176138,4196713,4200003
4172640,4197362,4204216
4171330,4199784,4208027
4174317,4198616,4203873
4177035,4197180,4199696
4176896,4195712,4198324
4175190,4194109,4198415
4171073,4199994,4208469
4174080,4198789,4204284
4176731,4197329,4200134
4175982,4196539,4200033
4172523,4197238,4204238
4171254,4199767,4208107
4174248,4198644,4204012
4177091,4197264,4199746
4176395,4196537,4199637
4172823,4197168,4203870
4173061,4196274,4202755
4175287,4196654,4200967
4177134,4197153,4199568
4176279,4196647,4199778
4172611,4197385,4204176
4171474,4199934,4208052
4174423,4198768,4203936
4177211,4197377,4199718
4176542,4196592,4199580
4170484,4200011,4209103
4171546,4199776,4207787
4174457,4198400,4203537
4177763,4195719,4197505
4178460,4192780,4193769
4170279,4200391,4209666
4171509,4200172,4208245
4174559,4198845,4203921
4177448,4196867,4199026
4176653,4196364,4199257
4170336,4200102,4209369
4171392,4199816,4208021
4174315,4198500,4203762
4177166,4196535,4198912
4176446,4195970,4199014
4172025,4196577,4204120
4171995,4198130,4205716
4174141,4198362,4203829
4177046,4196540,4199052
4176356,4196144,4199246
4170246,4200059,4209383
4171394,4199780,4207999
4174350,4198440,4203708
4177169,4196523,4198905
4169971,4199844,4209414
4170503,4199870,4208824
4171695,4199482,4207244
4175304,4196876,4201043
4179360,4192553,4192608
4169677,4200148,4210004
4170127,4200135,4209561
4171365,4199670,4207895
4174537,4197803,4202784
4177371,4196155,4198209
4169670,4199962,4209832
4170202,4199991,4209333
4171479,4199670,4207703
4174742,4197812,4202574
4177656,4196010,4197827
4171726,4196668,4204453
4170790,4198458,4207152
4170774,4199867,4208613
4174367,4198233,4203389
4177713,4196452,4198218
4169765,4200233,4210010
4170207,4200287,4209616
4171465,4199896,4207953
4174797,4197944,4202708
4177683,4196309,4198122
4169933,4200225,4209786
4170406,4200208,4209326
4172157,4198991,4206380
4176756,4194498,4197277
4170007,4200101,4209583
4169833,4200229,4209930
4170324,4200134,4209338
4171735,4199205,4207001
4174936,4197559,4202158
4170059,4199945,4209323
4169722,4200074,4209778
4170165,4199912,4209225
4171588,4198943,4206888
4174833,4197280,4202009
4171803,4196174,4203832
4170477,4197944,4206927
4169937,4199589,4209131
4171339,4198894,4207036
4174519,4197212,4202184
4169558,4199635,4209550
4169522,4199901,4209838
4170071,4199836,4209218
4171558,4198931,4206848
4174829,4197360,4202080
4170250,4199872,4209118
4170042,4200042,4209512
4171014,4199165,4207666
4173859,4195840,4201450
4176806,4193886,4196596
4169915,4200110,4209689
4169578,4200285,4210190
4169971,4200072,4209588
4171374,4199067,4207201
4172384,4198957,4205990
4170132,4199920,4209302
4170018,4199872,4209410
4170558,4199127,4208081
4171648,4198460,4206345
4174444,4195357,4200396
4170889,4198118,4206732
4169532,4200046,4210039
4170183,4199641,4208930
4171518,4198899,4206888
4172531,4199104,4206001
4170328,4199985,4209160
4170169,4199977,4209340
4170654,4199331,4208211
4171700,4198664,4206474
4172665,4198730,4205589
4170401,4199696,4208847
4170731,4199064,4207917
4173022,4196040,4202580
4174151,4195079,4200523
4172430,4198744,4205880
4170115,4199678,4209172
4169843,4199719,4209486
4170406,4199128,4208288
4171567,4198398,4206364
4172520,4198706,4205692
4170161,4199620,4208995
4169915,4199653,4209285
4170518,4199025,4208084
4177864,4193299,4195011
4173403,4196320,4202515
4170197,4199337,4208714
4170057,4199176,4208659
4170621,4198752,4207689
4176427,4197595,4200634
4172726,4198712,4205482
4170422,4199528,4208677
4170264,4199083,4208387
4170644,4198697,4207611
4176520,4197512,4200453
4172806,4198704,4205372
4170943,4198962,4207605
4172684,4196206,4203092
4173249,4195502,4201776
4176371,4197669,4200780
4172610,4198915,4205754
4170289,4199702,4208907
4170221,4199208,4208513
4170655,4198726,4207551
4176402,4197572,4200653
4172756,4198721,4205433
4170386,4199501,4208607
4170246,4199018,4208244
4178542,4193582,4194501
4176981,4195386,4197923
4172653,4198470,4205320
4170350,4198968,4208177
4170173,4198683,4208097
4177043,4197791,4200286
4176601,4197626,4200543
4173024,4198685,4205173
4170775,4199025,4207762
4170529,4198742,4207717
4177241,4197655,4199866
4176660,4197516,4200221
4173533,4197876,4203706
4173148,4195846,4202110
4172890,4195564,4202115
4176992,4197793,4200358
4176387,4197698,4200779
4172645,4198734,4205517
4170507,4198981,4207949
4170373,4198759,4207893
4177063,4197608,4200051
4176591,4197368,4200260
4172998,4198327,4204802
4170733,4198589,4207350
4170456,4198338,4207405
4177954,4195195,4196908
4176319,4197133,4200349
4172516,4198381,4205396
4170295,4198651,4207929
4173924,4198711,4204394
4177043,4197383,4199894
4176636,4197027,4199866
4173151,4197515,4203865
4170690,4198114,4207010
4174241,4198709,4204040
4177180,4197387,4199703
4177136,4196316,4198664
4175418,4194322,4198417
4173084,4194860,4201360
4173778,4198913,4204725
4176926,4197522,4200154
4176365,4197187,4200313
4172835,4197668,4204291
4170465,4198214,4207216
4173870,4198751,4204424
4176917,4197432,4199994
4176507,4197058,4199963
4173047,4197446,4203803
4170698,4197975,4206797
4174588,4196620,4201541
4176656,4197136,4199983
4176035,4197110,4200564
4172637,4197573,4204442
4170439,4198050,4207151
4173452,4198730,4204866
4176810,4197363,4200076
4176448,4196957,4199955
4173065,4197462,4203848
4171102,4199748,4208251
4173991,4198673,4204313
4177332,4196440,4198681
4178562,4192997,4193977
4175231,4193591,4197925
4170486,4199884,4208952
4173640,4198740,4204687
4176736,4197170,4199986
4176393,4196265,4199388
4172809,4197080,4203756
4170794,4199678,4208457
4173730,4198595,4204470
4176664,4197078,4199994
4176417,4196163,4199262
4173004,4196914,4203393
4172013,4197713,4205316
4173779,4198591,4204487
4176676,4197398,4200362
4176420,4196547,4199677
4172949,4197104,4203681
4170928,4199790,4208483
4173904,4198725,4204501
4176995,4197190,4199826
4176791,4196305,4199066
4173249,4197052,4203342
4171086,4199769,4208277
4174275,4198039,4203378
4178314,4194028,4195286
4178247,4192833,4194179
4169642,4200240,4210209
4170809,4200052,4208880
4173834,4198720,4204551
4176930,4196650,4199290
4176524,4196018,4198962
4169929,4200037,4209656
4170983,4199927,4208504
4173902,4198681,4204382
4177085,4196559,4199080
4176715,4195836,4198665
4170848,4198002,4206757
4170889,4199768,4208547
4173803,4198847,4204718
4176911,4196845,4199529
4176544,4196068,4199058
4169867,4200098,4209866
4171054,4199971,4208523
4174085,4198700,4204226
4177361,4196612,4198800
4176996,4196031,4198531
4170395,4200130,4209294
4171732,4199313,4207123
4175646,4195644,4199558
4178819,4193317,4194115
4169854,4200304,4210056
4170269,4200331,4209677
4171356,4199982,4208254
4174379,4198232,4203468
4177325,4196364,4198577
4169497,4199786,4209919
4169858,4199945,4209723
4171118,4199659,4208219
4174427,4197878,4203163
4177603,4196100,4198128
